Country,Score
United States,85.64117837
Singapore,83.47791305
Germany,82.83885508
Switzerland,82.58582353
Japan,82.46773043
Netherlands,82.37973267
Hong Kong SAR,82.25146144
United Kingdom,81.98786677
Sweden,81.65535419
Denmark,80.62462033
Finland,80.2616062
Canada,79.92199296
"Taiwan, China",79.252229
Australia,78.85166975
"Korea, Rep.",78.83839539
Norway,78.15747933
France,78.00732763
New Zealand,77.5075524
Luxembourg,76.63068228
Israel,76.630289
Belgium,76.61015539
Austria,76.33810154
Ireland,75.6777984
Iceland,74.5093354
Malaysia,74.38145346
Spain,74.19627254
United Arab Emirates,73.37190038
China,72.60927208
Czech Republic,71.17671553
Qatar,71.01880988
Italy,70.76946152
Estonia,70.7527576
Chile,70.26440664
Portugal,70.2019692
Slovenia,69.62221957
Malta,68.7532285
Poland,68.16262086
Thailand,67.53037872
Saudi Arabia,67.50169153
Lithuania,67.11914961
Slovak Republic,66.84123807
Latvia,66.24561767
Russian Federation,65.62373908
Cyprus,65.5724858
Indonesia,64.93514039
Mexico,64.60294997
Oman,64.39726447
Hungary,64.30588347
Mauritius,63.7414492
Bahrain,63.63291245
Bulgaria,63.55997367
Romania,63.46435395
Uruguay,62.6874202
Kuwait,62.14279655
Costa Rica,62.13872602
Philippines,62.125307
Greece,62.09629875
India,62.02034109
Kazakhstan,61.80479519
Colombia,61.63027776
Turkey,61.59871156
Brunei Darussalam,61.42857838
Peru,61.25914008
Panama,61.03370923
Serbia,60.88244677
Georgia,60.87606347
South Africa,60.76155879
Croatia,60.11451491
Azerbaijan,60.04414805
Armenia,59.86148111
Montenegro,59.6171052
Brazil,59.5074453
Jordan,59.29371268
Seychelles,58.4984206
Morocco,58.48921619
Albania,58.1015956
Viet Nam,58.0512456
Trinidad and Tobago,57.88141248
Jamaica,57.87941448
Lebanon,57.71841301
Argentina,57.48611009
Dominican Republic,57.38287791
Ukraine,57.03007319
"Macedonia, FYR",56.62004146
Sri Lanka,56.00353114
Ecuador,55.84635887
Tunisia,55.60421699
Moldova,55.5306836
"Iran, Islamic Rep.",54.85298038
Botswana,54.53541055
Bosnia and Herzegovina,54.15512388
Algeria,53.75071304
Kenya,53.66756209
Egypt,53.59113102
Paraguay,53.37832957
Guatemala,53.36270658
Kyrgyz Republic,53.0241143
El Salvador,52.81964557
Mongolia,52.74263293
Namibia,52.67358647
Honduras,52.46127892
Tajikistan,52.17773954
Bangladesh,52.07923887
Nicaragua,51.50115651
Bolivia,51.39667602
Ghana,51.33058966
Pakistan,51.08047057
Rwanda,50.93977451
Nepal,50.78637073
Cambodia,50.18527729
Cape Verde,50.18516211
Lao PDR,49.26590456
Senegal,49.03375063
C™te d'Ivoire,47.56758461
Nigeria,47.52677517
Tanzania,47.21001783
Uganda,46.8044475
Zambia,46.05040744
"Gambia, The",45.45061916
Eswatini,45.34611222
Cameroon,45.09942938
Ethiopia,44.45183108
Benin,44.39858877
Burkina Faso,43.89803312
Mali,43.63021367
Guinea,43.2312728
Venezuela,43.17122639
Zimbabwe,42.60869644
Malawi,42.4364238
Lesotho,42.31866714
Mauritania,40.7709393
Liberia,40.54749446
Mozambique,39.7536072
Sierra Leone,38.80016628
"Congo, Democratic Rep.",38.24125508
Burundi,37.52763497
Angola,37.05578811
Haiti,36.45085547
Yemen,36.39569426
Chad,35.52021394
